T,latency_s,text
27.0,1.697," a day starting in mid-March into the Red Sea on a pipeline that had already been built and hadn't been used. There's a little area here called Foujant."
28.0,1.774," starting in mid-March into the Red Sea on a pipeline that had already been built and hadn't been used. There's a little area here called Fujaira, which"
29.0,1.840," into the Red Sea on a pipeline that had already been built and hadn't been used. There's a little area here called Fugira, which is where the UAE"
30.0,1.944," to the Red Sea on a pipeline that had already been built and hadn't been used. There's a little area here called Fujaira, which is where the UAE had a pipeline."
31.0,2.039," a pipeline that had already been built and hadn't been used. There's a little area here called Fujaira, which is where the UAE had a pipeline that's almost two mil"
33.0,1.126," been used. There's a little area here called Fujaira, which is where the UAE had a pipeline. That's almost 2 million barrels a day. So 20 million"
34.0,1.232," There's a little area here called Fujaira, which is where the UAE had a pipeline. That's almost 2 million barrels a day. So 20 million barrels a day were"
35.0,1.371," little area here called Fujaira, which is where the UAE had a pipeline. That's almost 2 million barrels a day. So 20 million barrels a day, we're going through Hormone."
36.0,1.497," called Fujaira, which is where the UAE had a pipeline. That's almost 2 million barrels a day. So 20 million barrels a day, we're going through hormones, almost."
37.0,1.547," which is where the UAE had a pipeline that's almost 2 million barrels a day so 20 million barrels a day we're going through hormones almost immediately seven"
38.0,1.606," where the UAE had a pipeline that's almost 2 million barrels a day. So 20 million barrels a day we're going through hormones almost immediately 7 million."
39.0,1.657," had a pipeline that's almost 2 million barrels a day so 20 million barrels a day we're going through hormones almost immediately 7 million we're being bypassed"
40.0,1.765," And that's almost 2 million barrels a day. So 20 million barrels a day, we're going through hormones, almost immediately 7 million we're being bypassed. Then there's all this."
41.0,1.831," So 20 million barrels a day, we're going through hormones, almost immediately 7 million we're being bypassed. Then there's all this discussion that arous-"
42.0,1.890," 20 million barrels a day. We're going through hormones almost immediately 7 million. We're being bypassed. Then there's all this discussion that Iraq might build"
43.0,1.963," in barrels a day, we're going through hormones, almost immediately 7 million were being bypassed. Then there's all this discussion that Iraq might build some pipes."
44.0,2.000," going through hormones, almost immediately 7 million were being bypassed. Then there's all this discussion that Iraq might build some pipelines, there might"
45.0,2.036," almost immediately 7 million were being bypassed. Then there's all this discussion that Iraq might build some pipelines, there might be other pipelines."
47.0,1.078," million were being bypassed. Then there's all this discussion that Iraq might build some pipelines. There might be other pipelines here going through Syria."
48.0,1.151," being bypassed. Then there's all this discussion that Iraq might build some pipelines. There might be other pipelines here going through Syria. So what if you're"
49.0,1.215," Then there's all this discussion that Iraq might build some pipelines. There might be other pipelines here going through Syria. So what if you were wrong?"
50.0,1.254," Discussion that Iraq might build some pipelines. There might be other pipelines here going through Syria. So what if you're Iran you now can"
51.0,1.298," might build some pipelines. There might be other pipelines here going through Syria. So what if you are wrong? You now control this, but"
52.0,1.342," some pipelines. There might be other pipelines here going through Syria. So what if you're wrong? You now control this, but notice"
53.0,1.408," lines, there might be other pipelines here going through Syria. So what if you are wrong? You now control this, but notice it's a declining."
54.0,1.448," the other pipelines here going through Syria. So what if you're wrong? You now control this, but notice it's a declining asset that"
55.0,1.514," you're going through Syria. So what if you're Iran? You now control this, but notice it's a declining asset that way. If you only"
56.0,1.551," So what if you're wrong? You now control this but notice it's a declining asset that way if you only control or move"
57.0,1.616," So what if you are wrong? You now control this, but notice it's a declining asset that way. If you only control hormones within five years,"
58.0,1.669," You now control this, but notice it's a declining asset that way. If you only control Hormuz within five years, good chance."
59.0,1.760," You now control this, but notice it's a declining asset that way. If you only control Hormuz within five years, good chance your power is going to"
60.0,1.867," control this, but notice it's a declining asset that way. If you only control hormones within five years, good chance your power is going to be whittled away."
